"","Q8","STEM_Non-STEM","satacad","satlife","satoverall","respect9","intclimate10","socclimate11","collegial12","sameuniv13","samefield14","recommend15","curriculum16","teaching17","advising18","candidacy19","interdisc20","employment21","progqual22","Q21","Q22","Q23","Q24","finance","infotech","space","library","lab","htopicadv","hresearchadv","hwritingadv","hacadadv","hnonacadadv","hemployadv","Q32","Q33","htopicmen","hresearchmen","hwritingmen","hacadmen","hnonacadmen","hemploymen","Q38","Q39","Q40","Q42","Q43","Q45","Q46","Q47","Q48","Q49","Q78","Q90_1","Q90_2","Q92_1","Q99","sameuniv91","samefield92","recommend93","curriculum94","teaching95","advising96","candidacy97","interdisc98","employment99","progqual100","respect101","intclimate102","socclimate103","collegial104","workcomm","family","availfac","progreq","coursesched","immigration","Sex_ANOVA_Code","Citizenship_ANOVA_Code","Hispanic_Latino_ANOVA_Code","Race_Ethnicy_ANOVA_Code","Underrepresented"
"94","College C","STEM","Very good","Good","Good","Agree","Agree","Agree","Strongly Agree","Maybe","Probably","Probably","Good","Very good","Excellent","Very good","Excellent","Very good","Very good","I don't remember",NA,"Yes","Yes","Very Good","Good","Good","Excellent","Good","Very helpful","Very helpful","Very helpful","Somewhat helpful","Somewhat helpful","Very helpful",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Very helpful","No","Yes","Somewhat helpful","8","9","Yes","6","1","Have signed contract or made definite commitment for a ""postdoc"" or other work","Education","4-year college or university","Education, Training, and Library Occupations","Yes","Maybe","Probably","Maybe","Good","Good","Excellent","Very good","Excellent","Very good","Very good","Agree","Agree","Agree","Agree","A minor obstacle","A major obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle",2,1,2,5,"Non-Underrespresented Group"
"95","College E","Non-STEM","Excellent","Excellent","Excellent","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Definitely","Definitely","Definitely","Good","Very good","Very good","Excellent","Excellent","Excellent","Very good","Yes, and I attended","Somewhat Effective","Yes","Yes","Excellent","Excellent","Excellent","Excellent","Excellent","Very helpful","Very helpful","Very helpful","Very helpful","N/A - I did not receive advice on this","Very helpful","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Very helpful","No","Yes","Very helpful","4","5","Yes","3","0","Have signed contract or made definite commitment for a ""postdoc"" or other work","Education","Medical school or other professional school","Scientists, Social Scientists","Yes","Definitely","Definitely","Definitely","Good","Very good","Very good","Very good","Very good","Excellent","Excellent","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Not an obstacle","A minor obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle",1,1,2,5,"Non-Underrespresented Group"
"96","College C","STEM","Fair","Poor","Poor","Disagree","Disagree","Disagree","Disagree","Definitely not","Maybe","Definitely not","Fair","Fair","Poor","Fair","Fair","Fair","Fair","I don't remember",NA,"No","No","Very Good","Fair","Very Good","Fair","Very Good","Not very helpful","Not at all helpful","Not at all helpful","N/A - I did not receive advice on this","N/A - I did not receive advice on this","Not very helpful","Yes","Yes","N/A - I did not receive advice on this","Very helpful","Very helpful","N/A - I did not receive advice on this","N/A - I did not receive advice on this","N/A - I did not receive advice on this","Yes","Very helpful","No","Yes","Very helpful","1","2","Not applicable","1","0","Have signed contract or made definite commitment for a ""postdoc"" or other work","Research, Consulting, and Legal Services","Scientific Research (including Social research in Humanities)","Scientists, Social Scientists","Yes","Definitely not","Maybe","Definitely not","Fair","Good","Poor","Good","Fair","Poor","Fair","Disagree","Disagree","Disagree","Disagree","A minor obstacle","Not an obstacle","A major obstacle","A minor obstacle","A minor obstacle","Not applicable",1,1,2,5,"Non-Underrespresented Group"
"97","College C","Non-STEM","Very good","Good","Very good","Ambivalent","Ambivalent","Ambivalent","Agree","Probably","Probably","Probably","Very good","Very good","Good","Good","Good","Good","Good","Yes, and I attended","Very Effective","Yes","Yes","Very Good","Good","Good","Very Good","N/A","Very helpful","Very helpful","Very helpful","Somewhat helpful","N/A - I did not receive advice on this","Somewhat helpful","Yes","Yes","Somewhat helpful","Somewhat helpful","Somewhat helpful","Not very helpful","N/A - I did not receive advice on this","N/A - I did not receive advice on this","Yes","Very helpful","No","No",NA,"3","13","Yes","0","0","Negotiating with one or more specific organizations","Education","4-year college or university","Education, Training, and Library Occupations","Yes","Probably","Definitely","Probably","Very good","Very good","Good","Good","Fair","Fair","Good","Agree","Ambivalent","Ambivalent","Agree","Not an obstacle","A minor obstacle","A minor obstacle","A minor obstacle","Not an obstacle","Not an obstacle",1,2,2,5,"Non-Underrespresented Group"
"98","College C","STEM","Very good","Very good","Very good","Agree","Agree","Agree","Agree","Probably not","Probably not","Definitely","Very good","Very good","Very good","Very good","Very good","Fair","Very good","Yes, and I attended","Somewhat Effective","Yes","Yes","Very Good","Very Good","Excellent","Very Good","Excellent","Very helpful","Very helpful","Very helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","Yes","Yes","Very helpful","Very helpful","Very helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","Yes","Very helpful","Yes","Yes","Very helpful","7","1","No","1","1","Seeking position but have no specific prospects","Research, Consulting, and Legal Services","Consulting Services (Economics, Physics, Biological, Chemical, Environmental, Energy, etc.)","Scientists, Social Scientists","Yes","Probably not","Probably not","Definitely","Very good","Very good","Very good","Very good","Excellent","Fair","Very good","Agree","Agree","Agree","Agree","A minor obstacle","Not an obstacle","A minor obstacle","Not an obstacle","Not an obstacle","Not an obstacle",1,1,2,4,"Non-Underrespresented Group"
"99","College F","STEM","Very good","Good","Very good","Agree","Agree","Agree","Agree","Probably","Definitely","Probably","Very good","Good","Excellent","Very good","Good","Good","Very good","Yes, and I attended","Very Effective","Yes","Yes","Excellent","Very Good","Fair","Very Good","Good","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Somewhat helpful","Yes","Yes","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Somewhat helpful","No",NA,"No","Yes","Very helpful","3","2","Yes","5","0","Have signed contract or made definite commitment for a ""postdoc"" or other work","Research, Consulting, and Legal Services","Scientific Research (including Social research in Humanities)","Scientists, Social Scientists","Yes","Probably","Definitely","Probably","Good","Good","Excellent","Very good","Good","Good","Very good","Agree","Agree","Agree","Agree","Not an obstacle","A minor obstacle","A minor obstacle","A minor obstacle","A minor obstacle","Not an obstacle",1,1,2,5,"Non-Underrespresented Group"
"100","College C","Non-STEM","Very good","Fair","Good","Ambivalent","Agree","Ambivalent","Agree","Maybe","Definitely","Maybe","Good","Good","Fair","Fair","Poor","Good","Good","Yes, and I attended","Somewhat Effective","Yes","Yes","Fair","Very Good","Fair","Very Good","N/A","Somewhat helpful","Very helpful","Somewhat helpful","Not very helpful","Not very helpful","Not very helpful","Yes","Yes","Somewhat helpful","Very helpful","Very helpful","Somewhat helpful","Not at all helpful","Not at all helpful","Yes","Somewhat helpful","Yes","Yes","Somewhat helpful","2","12","Yes","7","0","Have signed contract or made definite commitment for a ""postdoc"" or other work","Education","4-year college or university","Scientists, Social Scientists","Yes","Maybe","Probably","Maybe","Good","Good","Fair","Fair","Poor","Fair","Good","Ambivalent","Ambivalent","Ambivalent","Ambivalent","Not an obstacle","A minor obstacle","A major obstacle","A minor obstacle","Not an obstacle","Not an obstacle",2,1,2,5,"Non-Underrespresented Group"
"101","College F","STEM","Excellent","Excellent","Excellent","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Definitely","Definitely","Definitely","Excellent","Excellent","Excellent","Excellent","Excellent","Very good","Excellent","Yes, but I did not attend",NA,"Yes","Yes","Excellent","Excellent","Excellent","Excellent","Excellent","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Very helpful","Yes","Yes","Very helpful","2","5","Yes","2","1","Have signed contract or made definite commitment for a ""postdoc"" or other work","Research, Consulting, and Legal Services","Scientific Research (including Social research in Humanities)","Scientists, Social Scientists","Yes","Definitely","Definitely","Definitely","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle","A minor obstacle","Not an obstacle",1,1,2,5,"Non-Underrespresented Group"
"102","College B","STEM","Very good","Good","Very good","Agree","Agree","Agree","Agree","Probably","Definitely","Probably","Very good","Very good","Very good","Excellent","Very good","Very good","Very good","I don't remember",NA,"Yes","Yes","Poor","Very Good","Very Good","Very Good","Excellent","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Yes","No","Very helpful","N/A - I did not receive advice on this","N/A - I did not receive advice on this","Very helpful","Very helpful","Very helpful","Yes","Somewhat helpful","Yes","Yes","Very helpful","25","8","Yes","1","3","Have signed contract or made definite commitment for a ""postdoc"" or other work",NA,NA,"Scientists, Social Scientists","Yes","Probably","Definitely","Probably","Very good","Very good","Excellent","Very good","Good","Very good","Very good","Agree","Agree","Agree","Agree","A major obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle",1,1,2,5,"Non-Underrespresented Group"
"103","College C","STEM","Very good","Very good","Very good","Agree","Agree","Agree","Agree","Maybe","Definitely","Definitely","Very good","Very good","Very good","Very good","Very good","Very good","Very good","Yes, and I attended","Somewhat Effective","Yes","No","Good","Excellent","Excellent","Excellent","Excellent","Very helpful","Very helpful","Very helpful","Very helpful","N/A - I did not receive advice on this","Very helpful","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Very helpful","No","No",NA,"0","7","Yes","24","7","Other - Specify:","Research, Consulting, and Legal Services","Scientific Research (including Social research in Humanities)","Scientists, Social Scientists","Yes","Maybe","Definitely","Definitely","Very good","Very good","Very good","Very good","Fair","Very good","Very good","Agree","Agree","Agree","Strongly Agree","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle",2,1,2,5,"Non-Underrespresented Group"
"104","College F","STEM","Very good","Good","Very good","Strongly Agree","Agree","Agree","Agree","Probably","Probably","Definitely","Very good","Very good","Good","Good","Very good","Poor","Very good","Yes, and I attended","Somewhat Effective","Yes","No","Good","Very Good","Good","Good","Good","Somewhat helpful","Somewhat helpful","Very helpful","N/A - I did not receive advice on this","N/A - I did not receive advice on this","N/A - I did not receive advice on this","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Very helpful","No","Yes","Very helpful","6","0","Not applicable","0","2","Seeking position but have no specific prospects","Research, Consulting, and Legal Services","Other Professional, Scientific, and Technical Services","Scientists, Social Scientists","Yes","Probably","Definitely","Probably","Very good","Very good","Fair","Good","Very good","Fair","Very good","Strongly Agree","Agree","Agree","Agree","Not an obstacle","A minor obstacle","A major obstacle","Not an obstacle","A minor obstacle","Not an obstacle",2,1,2,5,"Non-Underrespresented Group"
"105","College C","Non-STEM","Very good","Good","Good","Agree","Agree","Agree","Agree","Probably","Definitely","Maybe","Good","Excellent","Fair","Very good","Fair","Poor","Good","No",NA,"Yes","No","Fair","Poor","Poor","Fair","N/A","Very helpful","Not very helpful","Very helpful","Somewhat helpful","Not at all helpful","N/A - I did not receive advice on this","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Very helpful","No","No",NA,"15","8","Yes","0","0","Have signed contract or made definite commitment for a ""postdoc"" or other work","Education","4-year college or university","Other Occupations","Yes","Probably","Maybe","Maybe","Good","Excellent","Fair","Good","Fair","Poor","Good","Agree","Agree","Ambivalent","Agree","A minor obstacle","A minor obstacle","A minor obstacle","Not an obstacle","Not an obstacle","Not an obstacle",2,1,2,5,"Non-Underrespresented Group"
"106","College C","STEM","Very good","Very good","Very good","Agree","Agree","Agree","Agree","Probably","Definitely","Probably","Very good","Very good","Fair","Very good","Fair","Poor","Very good","Yes, and I attended","Somewhat Effective","Yes","No","Very Good","Very Good","Very Good","Excellent","Very Good","Very helpful","Very helpful","Very helpful","Not very helpful","Not very helpful","Somewhat helpful","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Very helpful","No","Yes","Very helpful","5","4","No","5","2","Seeking position but have no specific prospects","Other","Health Care","Healthcare Practitioners","Yes","Probably","Definitely","Probably","Very good","Very good","Fair","Very good",NA,"Fair","Very good","Agree","Agree","Agree","Agree","A minor obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle",2,1,2,5,"Non-Underrespresented Group"
"107","College F","STEM","Very good","Excellent","Good","Agree","Agree","Agree","Strongly Agree","Probably","Definitely","Probably","Very good","Very good","Very good","Good","Very good","Fair","Good","Yes, and I attended","Somewhat Effective","Yes","No","Excellent","Good","Good","Fair","Very Good","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Somewhat helpful","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Not at all helpful","No","No",NA,"3","3","Yes","1","1","Seeking position but have no specific prospects","Other",NA,"Scientists, Social Scientists",NA,"Maybe","Definitely","Maybe","Very good","Good","Very good","Very good","Very good","Good","Very good","Agree","Agree","Agree","Strongly Agree","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable",2,1,2,5,"Non-Underrespresented Group"
"108","College C","STEM","Good","Fair","Good","Agree","Ambivalent","Ambivalent","Ambivalent","Probably not","Probably","Maybe","Good","Very good","Poor","Fair","Good","Poor","Good","I don't remember",NA,"Yes","No","Fair","Fair","Good","Very Good","Very Good","N/A - I did not receive advice on this","Somewhat helpful","Somewhat helpful","Not very helpful","Not very helpful","Not very helpful","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Not very helpful","No","Yes","Somewhat helpful","2","3","Yes","0","1","Have signed contract or made definite commitment for a ""postdoc"" or other work","Research, Consulting, and Legal Services","Scientific Research (including Social research in Humanities)","Scientists, Social Scientists","Yes","Probably not","Probably","Maybe","Fair","Good","Poor","Good","Good","Poor","Good","Agree","Ambivalent","Disagree","Disagree","A minor obstacle","Not an obstacle","A minor obstacle","A minor obstacle","Not an obstacle","Not an obstacle",2,1,2,5,"Non-Underrespresented Group"
"109","College C","STEM","Excellent","Excellent","Excellent","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Definitely","Definitely","Probably","Very good","Very good","Excellent","Very good","Good","Fair","Very good","Yes, and I attended","Very Effective","Yes","No","Excellent","Excellent","Excellent","Excellent","Excellent","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Very helpful","No","Yes","Very helpful","8","6","Yes","3","1","Have signed contract or made definite commitment for a ""postdoc"" or other work","Research, Consulting, and Legal Services","Scientific Research (including Social research in Humanities)","Scientists, Social Scientists","No","Definitely","Definitely","Probably","Very good","Very good","Excellent","Very good","Fair","Very good","Very good","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Not an obstacle","A minor obstacle","A minor obstacle","A minor obstacle","A minor obstacle","Not applicable",2,1,2,5,"Non-Underrespresented Group"
"110","College C","Non-STEM","Very good","Very good","Very good","Agree","Agree","Strongly Agree","Strongly Agree","Probably","Probably","Probably","Very good","Very good","Excellent","Excellent","Good","Good","Very good","Yes, and I attended","Somewhat Effective","Yes","Yes","Fair","Fair","Fair","Very Good","N/A","Very helpful","Very helpful","Very helpful","Very helpful","Somewhat helpful","Very helpful","Yes","Yes","Not very helpful","Not very helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","Yes","Somewhat helpful","No","Yes","Somewhat helpful","1","9","Yes","2","0","Seeking position but have no specific prospects","Education","4-year college or university","Education, Training, and Library Occupations","Yes","Maybe","Maybe","Maybe","Very good","Very good","Very good","Very good","Good","Very good","Very good","Agree","Agree","Agree","Agree","A major obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle",2,1,2,5,"Non-Underrespresented Group"
"111","College C","Non-STEM","Very good","Fair","Very good","Agree","Agree","Ambivalent","Agree","Probably","Probably","Probably","Good","Very good","Fair","Very good","Excellent","Fair","Very good","Yes, and I attended","Neither Effective nor Ineffective","Yes","No","Fair","Good","Poor","Good","N/A","Somewhat helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","Not very helpful","Not very helpful","Yes","Yes","N/A - I did not receive advice on this","Somewhat helpful","Somewhat helpful","Somewhat helpful","Not very helpful","Not very helpful","Yes","Very helpful","No","Yes","Somewhat helpful","2","13","Yes","2","1","Seeking position but have no specific prospects","Other",NA,"Education, Training, and Library Occupations","Yes","Maybe","Probably","Probably","Very good","Very good","Good","Very good","Excellent","Fair","Very good","Strongly Agree","Agree","Ambivalent","Agree","A minor obstacle","Not an obstacle","A minor obstacle","Not an obstacle","Not an obstacle","Not an obstacle",2,1,2,5,"Non-Underrespresented Group"
"112","College C","STEM","Excellent","Very good","Very good","Agree","Strongly Agree","Agree","Strongly Agree","Probably","Definitely","Definitely","Excellent","Very good","Very good","Very good","Excellent","Very good","Very good","Yes, and I attended","Very Effective","Yes","No","Excellent","Excellent","Excellent","Excellent","Excellent","Very helpful","Very helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","Yes","Yes","Somewhat helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","Yes","Very helpful","Yes","No",NA,"0","1","No","2","0","Seeking position but have no specific prospects","Research, Consulting, and Legal Services","Scientific Research (including Social research in Humanities)","Computer and Mathematical Occupations","Yes","Maybe","Definitely","Probably","Very good","Very good","Very good","Very good","Very good","Good","Very good","Agree","Strongly Agree","Agree","Strongly Agree","A minor obstacle","A minor obstacle","A major obstacle","A minor obstacle","A minor obstacle","Not an obstacle",1,1,2,5,"Non-Underrespresented Group"
"113","College C","Non-STEM","Excellent","Excellent","Excellent","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Definitely","Definitely","Definitely","Excellent","Excellent","Excellent","Excellent","Very good","Very good","Excellent","I don't remember",NA,"Yes","No","Good","Very Good","Good","Very Good","N/A","Very helpful","Very helpful","Very helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","Yes","Yes","Very helpful","Very helpful","Very helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","Yes","Very helpful","Yes","No",NA,"5","5","Yes","2","0","Returning to, or continuing in, predoctoral employment","Public Administration (Government)","Executive, Legislative, and Other General Government Support","Arts, Design, Entertainment, Sports, and Media Occupations","Yes","Definitely","Definitely","Definitely","Excellent","Excellent","Very good","Very good","Very good","Good","Excellent","Strongly Agree","Strongly Agree","Strongly Agree","Agree","A minor obstacle","Not an obstacle","A minor obstacle","Not an obstacle","Not an obstacle","Not an obstacle",2,1,2,5,"Non-Underrespresented Group"
"114","College C","STEM","Very good","Very good","Very good","Agree","Agree","Agree","Strongly Agree","Probably","Definitely","Probably","Very good","Very good","Very good","Very good","Very good","Excellent","Excellent","Yes, and I attended","Somewhat Effective","Yes","Yes","N/A","N/A","N/A","N/A","N/A","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Yes","Yes","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","No",NA,"No","No",NA,"2","4","Not applicable","4","1","Have signed contract or made definite commitment for a ""postdoc"" or other work","Research, Consulting, and Legal Services","Scientific Research (including Social research in Humanities)","Scientists, Social Scientists","Yes","Probably","Definitely","Probably","Very good","Very good","Very good","Very good","Very good","Excellent","Very good","Strongly Agree","Agree","Agree","Strongly Agree","Not applicable","Not an obstacle","Not an obstacle","Not an obstacle","A minor obstacle","Not applicable",1,1,2,5,"Non-Underrespresented Group"
"115","College C","STEM","Good","Good","Good","Agree","Agree","Agree","Ambivalent","Probably not","Definitely","Probably",NA,NA,NA,NA,"Excellent","Fair","Good","No",NA,"Yes","No","Good","Very Good","Very Good","Very Good","Excellent","Very helpful","Very helpful","Very helpful","N/A - I did not receive advice on this","N/A - I did not receive advice on this","N/A - I did not receive advice on this","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Somewhat helpful","No","Yes","Very helpful","0","2","No","2","0","Seeking position but have no specific prospects","Research, Consulting, and Legal Services","Scientific Research (including Social research in Humanities)","Scientists, Social Scientists","Yes","Probably","Definitely","Probably",NA,NA,"Good",NA,"Excellent","Fair","Very good","Agree","Agree","Agree","Agree","A minor obstacle","Not an obstacle","A minor obstacle","A minor obstacle","Not an obstacle","Not an obstacle",2,1,2,5,"Non-Underrespresented Group"
"116","College C","STEM","Very good","Good","Very good","Ambivalent","Agree","Ambivalent","Strongly Agree","Probably","Definitely","Probably","Good","Fair","Very good","Fair","Very good","Excellent","Good","Yes, and I attended","Neither Effective nor Ineffective","Yes","Yes","Very Good","Good","Fair","Good","Fair","Very helpful","Very helpful","Somewhat helpful","Very helpful","Very helpful","Very helpful","No",NA,NA,NA,NA,NA,NA,NA,"No",NA,"No","Yes","Very helpful","3","6","Yes","10","2","Have signed contract or made definite commitment for a ""postdoc"" or other work","Research, Consulting, and Legal Services","Computer Systems Design and Related Services","Computer and Mathematical Occupations","Yes","Probably","Definitely","Probably","Good","Fair","Very good","Fair","Very good","Excellent","Good","Ambivalent","Agree","Ambivalent","Agree","Not an obstacle","Not an obstacle","A major obstacle","A minor obstacle","A minor obstacle","Not an obstacle",1,1,3,5,"Non-Underrespresented Group"
"117","College G","STEM","Excellent","Very good","Excellent","Agree","Strongly Agree","Agree","Strongly Agree","Definitely","Definitely","Definitely","Very good","Very good","Very good","Very good","Excellent","Very good","Excellent","I don't remember",NA,"Yes","Yes","Good","Excellent","Good","Excellent","N/A","Somewhat helpful","Very helpful","Somewhat helpful","Very helpful","N/A - I did not receive advice on this","Somewhat helpful","Yes","No","Very helpful","Very helpful","Very helpful","Very helpful","N/A - I did not receive advice on this","Very helpful","Yes","Very helpful","No","Yes","Very helpful","3","8","Yes","11","0","Have signed contract or made definite commitment for a ""postdoc"" or other work","Other","Health Care","Scientists, Social Scientists","Yes","Definitely","Definitely","Definitely","Excellent","Excellent","Excellent","Very good","Excellent","Very good","Excellent","Agree","Strongly Agree","Agree","Strongly Agree","A minor obstacle","Not an obstacle","Not an obstacle","A minor obstacle","Not an obstacle","Not applicable",2,1,2,5,"Non-Underrespresented Group"
"118","College C","STEM","Good","Very good","Good","Disagree","Agree","Disagree","Agree","Maybe","Definitely","Probably","Fair","Fair","Fair","Poor","Very good","Poor","Fair","I don't remember",NA,"Yes","No","Fair","Very Good","Good","Excellent","Very Good","Somewhat helpful","Very helpful","Very helpful","Not at all helpful","N/A - I did not receive advice on this","N/A - I did not receive advice on this","Yes","No","Very helpful","Very helpful","Not very helpful","Somewhat helpful","Very helpful","Somewhat helpful","Yes","Not at all helpful","Yes","No",NA,"2","6","Yes","3","5","Have signed contract or made definite commitment for a ""postdoc"" or other work","Research, Consulting, and Legal Services","Scientific Research (including Social research in Humanities)","Scientists, Social Scientists","Yes","Maybe","Definitely","Maybe","Fair","Fair","Fair","Poor","Good","Poor","Fair","Disagree","Agree","Disagree","Agree","A major obstacle","Not an obstacle","A minor obstacle","A minor obstacle","A minor obstacle","Not an obstacle",2,1,2,5,"Non-Underrespresented Group"
"119","College C","STEM","Good","Fair","Good","Ambivalent","Agree","Agree","Agree","Probably not","Probably not","Probably not","Very good","Very good","Excellent","Good","Fair","Poor","Good","Yes, and I attended","Somewhat Effective","Yes","Yes","Fair","Fair","Excellent","Excellent","Very Good","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Yes","Yes","Somewhat helpful","Very helpful","Not very helpful","N/A - I did not receive advice on this","Very helpful","N/A - I did not receive advice on this","Yes","Very helpful","Yes","Yes","Very helpful","4","12","Yes","7","1","Negotiating with one or more specific organizations","Publishing, Broadcasting, and Library","Publishing Industries (except Internet)","Scientists, Social Scientists","Yes","Probably not","Probably not","Maybe","Very good","Very good","Good","Very good","Fair","Fair","Good","Ambivalent","Agree","Agree","Agree","A major obstacle","Not an obstacle","Not an obstacle","A minor obstacle","A minor obstacle","Not an obstacle",2,1,2,4,"Non-Underrespresented Group"
"120","College I","Non-STEM","Very good","Excellent","Very good","Agree","Agree","Strongly Agree","Strongly Agree","Probably","Maybe","Definitely","Very good","Very good","Excellent","Very good","Excellent","Good","Very good","Yes, and I attended","Somewhat Effective","Yes","No","Good","Very Good","Very Good","Very Good","N/A","Somewhat helpful","Very helpful","Very helpful","Very helpful","Somewhat helpful","Somewhat helpful","Yes","Yes","Very helpful","Very helpful","Very helpful","Somewhat helpful","N/A - I did not receive advice on this","N/A - I did not receive advice on this","Yes","Somewhat helpful","No","Yes","Very helpful","3","5","Yes","7","1","Seeking position but have no specific prospects","Non-profit and membership organizations","Social Advocacy Organizations","Education, Training, and Library Occupations","No","Probably","Maybe","Probably","Very good","Very good","Excellent","Very good","Very good","Good","Very good","Agree","Agree","Strongly Agree","Strongly Agree","A minor obstacle","Not an obstacle","Not an obstacle","Not an obstacle","A minor obstacle","Not an obstacle",1,1,2,5,"Non-Underrespresented Group"
"121","College C","STEM","Very good","Very good","Very good","Ambivalent","Ambivalent","Ambivalent","Strongly Agree","Probably","Probably","Maybe","Fair","Very good","Excellent","Excellent","Good","Fair","Very good","Yes, and I attended","Somewhat Ineffective","Yes","Yes","Poor","Good","Good","Very Good","N/A","Very helpful","Very helpful","Very helpful","Very helpful","Somewhat helpful","Somewhat helpful","Yes","No","N/A - I did not receive advice on this","Very helpful","Somewhat helpful","Very helpful","Not very helpful","Somewhat helpful","Yes","Somewhat helpful","Yes","No",NA,"5","15","Yes","1","2","Have signed contract or made definite commitment for a ""postdoc"" or other work","Education","4-year college or university","Scientists, Social Scientists","Yes","Maybe","Maybe","Maybe","Fair","Very good","Very good","Very good","Good","Fair","Very good","Ambivalent","Ambivalent","Ambivalent","Strongly Agree","A minor obstacle","Not an obstacle","Not an obstacle","A minor obstacle","A minor obstacle","Not an obstacle",2,1,2,5,"Non-Underrespresented Group"
"122","College C","STEM","Very good","Very good","Very good","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Definitely","Definitely","Definitely","Good","Fair","Excellent","Very good","Good","Excellent","Excellent","Yes, and I attended","Somewhat Effective","Yes","Yes","Fair","Fair","Excellent","Excellent","Excellent","Very helpful","Very helpful","Somewhat helpful","Very helpful","Very helpful","Very helpful","Yes","Yes","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Yes","Somewhat helpful","No","Yes","Very helpful","4","20","Yes","13","0","Have signed contract or made definite commitment for a ""postdoc"" or other work","Technology",NA,"Computer and Mathematical Occupations","Yes","Definitely","Definitely","Definitely","Fair","Fair","Excellent","Excellent","Good","Excellent","Excellent","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","A minor obstacle","A minor obstacle","Not an obstacle","A minor obstacle","Not an obstacle","Not an obstacle",1,1,2,5,"Non-Underrespresented Group"
"123","College C","STEM","Very good","Good","Good","Agree","Agree","Ambivalent","Agree","Probably","Probably","Probably","Good","Very good","Very good","Fair","Fair","Fair","Good","I don't remember",NA,"Yes","Yes","Poor",NA,"Good","Good","Very Good","Very helpful","Very helpful","Somewhat helpful","N/A - I did not receive advice on this","Somewhat helpful","Somewhat helpful","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Somewhat helpful","Yes","Yes","Very helpful","7","3","Yes","1","0","Other - Specify:","Research, Consulting, and Legal Services","Scientific Research (including Social research in Humanities)","Scientists, Social Scientists","Yes","Probably","Definitely","Probably","Very good","Very good","Good","Fair","Good","Good","Good","Agree","Agree","Agree","Agree","A minor obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle",2,1,2,5,"Non-Underrespresented Group"
